artist,song,week_number,chart_rank,date
"Houston, Whitney",I Learned From The Best,5,28.0,2000-03-18
Counting Crows,Hanginaround,5,46.0,1999-12-04
Mary Mary,Shackles (Praise You),5,43.0,2000-04-22
"Carey, Mariah",Crybaby,5,77.0,2000-07-22
"McGraw, Tim",My Best Friend,5,54.0,1999-12-25
Sugar Ray,Falls Apart,5,34.0,2000-02-12
Madonna,American Pie,5,33.0,2000-03-18
"Jones, Donell",Where I Wanna Be,5,41.0,2000-05-20
"Paisley, Brad",We Danced,5,45.0,2000-11-11
Lonestar,What About Now,5,56.0,2000-07-08
"Backstreet Boys, The",The One,5,31.0,2000-06-24
"Keith, Toby",How Do You Like Me Now?!,5,45.0,2000-02-26
"Strait, George",The Best Day,5,44.0,2000-02-26
"Dixie Chicks, The",Without You,5,50.0,2000-11-04
Musiq,Just Friends (Sunny),5,54.0,2000-11-11
"McEntire, Reba",What Do You Say,5,69.0,1999-11-27
"Braxton, Toni",Just Be A Man About It,5,37.0,2000-08-26
"Iglesias, Enrique",Rhythm Divine,5,67.0,2000-01-01
"Fabian, Lara",I Will Love Again,5,60.0,2000-07-08
Bon Jovi,It's My Life,5,48.0,2000-09-09
"Evans, Sara",Born To Fly,5,55.0,2000-11-18
"Chesney, Kenny",I Lost It,5,58.0,2000-11-18
J-Shin,One Night Stand,5,72.0,2000-01-22
Eve,Love Is Blind,5,46.0,2000-02-05
Aaliyah,I Don't Wanna,5,38.0,2000-02-26
"Montgomery, John Michael",The Little Girl,5,45.0,2000-10-07
"Carter, Aaron",Aaron's Party (Come Get It),5,35.0,2000-09-23
"Vassar, Phil",Just Another Day In Paradise,5,53.0,2000-10-28
Ice Cube,You Can Do It,5,42.0,2000-01-01
"Wills, Mark",Back At One,5,37.0,2000-02-12
Lucy Pearl,Dance Tonight,5,55.0,2000-06-17
"Jackson, Alan",It Must Be Love,5,57.0,2000-07-22
"Griggs, Andy",She's More,5,62.0,2000-04-08
No Doubt,Simple Kind Of Life,5,38.0,2000-07-29
"Jean, Wyclef",911,5,53.0,2000-11-04
Rascal Flatts,Prayin' For Daylight,5,66.0,2000-06-03
Vitamin C,Graduation (Friends Forever),5,46.0,2000-05-13
"Gilman, Billy",One Voice,5,65.0,2000-07-15
Lonestar,Smile,5,65.0,2000-01-15
"Rogers, Kenny",Buy Me A Rose,5,54.0,2000-04-08
"Lawrence, Tracy",Lessons Learned,5,48.0,2000-02-26
"Strait, George",Go On,5,53.0,2000-09-23
Sisqo,Got To Get It,5,48.0,1999-12-18
Baha Men,Who Let The Dogs Out,5,65.0,2000-08-19
"Walker, Clay",The Chain Of Love,5,51.0,2000-05-13
"McBride, Martina",Love's The Only House,5,53.0,2000-03-04
Amber,Sexual (Li Da Di),5,100.0,1999-08-14
"Tippin, Aaron",Kiss This,5,52.0,2000-09-23
SheDaisy,I Will.. But,5,59.0,2000-08-12
"Raye, Collin",Couldn't Last A Moment,5,67.0,2000-04-15
Black Rob,Whoa!,5,47.0,2000-04-01
"Jackson, Alan",Pop A Top,5,63.0,1999-12-11
"Black, Clint",Been There,5,58.0,2000-03-18
Common,The Light,5,46.0,2000-09-02
"Vassar, Phil",Carlene,5,57.0,2000-04-01
"Jackson, Alan",www.memory,5,50.0,2000-12-02
Vitamin C,The Itch,5,57.0,2000-12-30
"Eastsidaz, The",G'D Up,5,57.0,2000-02-05
Ideal,Whatever,5,64.0,2000-07-08
"Thomas, Carl",Emotional,5,54.0,2000-12-23
Ginuwine,None Of Ur Friends Business,5,60.0,2000-01-08
"Davidson, Clay",Unconditional,5,83.0,2000-04-22
DMX,What You Want,5,86.0,2000-07-29
"John, Elton",Someday Out Of The Blue,5,67.0,2000-05-20
Pearl Jam,Nothing As It Seems,5,93.0,2000-06-10
Mya,The Best Of Me,5,55.0,2000-05-13
"Heatherly, Eric",Flowers On The Wall,5,82.0,2000-05-27
Eminem,Stan,5,51.0,2000-12-02
"McEntire, Reba",I'll Be,5,69.0,2000-06-10
"Lopez, Jennifer",Feelin' Good,5,54.0,2000-03-18
"Urban, Keith",Your Everything,5,67.0,2000-08-12
TLC,Dear Lie,5,56.0,2000-03-11
"Gill, Vince",Feels Like Love,5,73.0,2000-09-30
"Houston, Whitney",Could I Have This Kiss Forever,5,59.0,2000-07-15
Bloodhound Gang,The Bad Touch,5,52.0,2000-04-15
"Williams, Robbie",Angels,5,62.0,1999-12-18
"Messina, Jo Dee",Because You Love Me,5,66.0,2000-02-26
"Keith, Toby",Country Comes To Town,5,66.0,2000-09-02
Beenie Man,Girls Dem Sugar,5,62.0,2000-11-18
"Hill, Faith",Let's Make Love,5,67.0,2000-09-09
Kelis,Caught Out There,5,63.0,2000-01-01
Jay-Z,Anything,5,63.0,2000-03-25
3 Doors Down,Loser,5,67.0,2000-11-18
Brooks & Dunn,You'll Always Be Loved By Me,5,83.0,2000-07-08
"Chesney, Kenny",What I Need To Do,5,69.0,2000-04-29
"Stone, Angie",No More Rain (In This Cloud),5,56.0,2000-01-22
Da Brat,That's What I'm Looking For,5,60.0,2000-03-25
SheDaisy,This Woman Needs,5,57.0,2000-03-04
Papa Roach,Last Resort,5,66.0,2000-08-26
"Adams, Yolanda",Open My Heart,5,68.0,2000-09-23
Shyne,Bad Boyz,5,82.0,2000-10-07
R.E.M.,The Great Beyond,5,60.0,2000-01-22
"Diffie, Joe",It's Always Somethin',5,60.0,2000-09-09
"McGraw, Tim",Some Things Never Change,5,63.0,2000-06-10
"Henley, Don",Taking You Home,5,66.0,2000-07-22
Eminem,The Way I Am,5,59.0,2000-09-23
Nas,You Owe Me,5,59.0,2000-04-22
Sister Hazel,Change Your Mind,5,63.0,2000-08-12
Puff Daddy,Best Friend,5,99.0,2000-03-11
"McBride, Martina",There You Are,5,73.0,2000-10-07
Usher,Pop Ya Collar,5,62.0,2000-12-02
Lil' Kim,No Matter What They Say,5,65.0,2000-08-12
LFO,I Don't Wanna Kiss You Goodnight,5,91.0,2000-05-13
Splender,I Think God Can Explain,5,62.0,2000-07-08
"Simpson, Jessica",Where You Are,5,76.0,2000-04-29
M2M,Mirror Mirror,5,75.0,2000-04-29
Kumbia Kings,U Don't Love Me,5,70.0,2000-04-01
Joe,Treat Her Like A Lady,5,69.0,2000-09-02
"Blige, Mary J.",Deep Inside,5,75.0,1999-12-11
"Price, Kelly",You Should've Told Me,5,86.0,2000-10-21
Changing Faces,That Other Woman,5,64.0,2000-10-28
"Wright, Chely",It Was,5,71.0,2000-04-01
Limp Bizkit,Rollin',5,65.0,2000-12-09
Hot Boys,I Need A Hot Girl,5,65.0,2000-03-18
Jay-Z,Do It Again (Put Ya Hands Up),5,74.0,2000-02-12
"Adkins, Trace",More,5,73.0,2000-05-27
"Dixie Chicks, The",Cold Day In July,5,68.0,2000-07-22
"Price, Kelly",As We Lay,5,71.0,2000-08-12
DMX,What's My Name,5,67.0,2000-02-12
"Martin, Ricky",Private Emotion,5,89.0,2000-04-08
Nine Days,If I Am,5,100.0,2000-12-30
"Blige, Mary J.",Give Me You,5,68.0,2000-05-13
Red Hot Chili Peppers,Californication,5,79.0,2000-08-26
Third Eye Blind,Deep Inside Of You,5,70.0,2000-09-30
"Brooks, Garth",Do What You Gotta Do,5,69.0,2000-03-18
"Offspring, The",Original Prankster,5,77.0,2000-12-23
"Anthony, Marc",My Baby You,5,82.0,2000-10-14
"Houston, Whitney","Same Script, Different Cast",5,70.0,2000-07-15
D'Angelo,Left & Right,5,91.0,2000-01-08
"Kravitz, Lenny",I Belong To You,5,71.0,2000-04-22
"Loveless, Patty",That's The Kind Of Mood I'm In,5,88.0,2000-10-14
Q-Tip,Breathe And Stop,5,96.0,2000-02-19
"Rimes, LeAnn",Can't Fight The Moonlight,5,96.0,2000-10-07
Lil Wayne,Tha Block Is Hot,5,84.0,2000-01-01
2 Pac,Baby Don't Cry (Keep Ya Head Up II),5,87.0,2000-03-25
"Wallflowers, The",Sleepwalker,5,90.0,2000-11-25
Drama,"Left, Right, Left",5,75.0,2000-03-11
Limp Bizkit,N 2 Gether Now,5,78.0,2000-01-01
Lox,"Ryde or Die, Chick",5,91.0,2000-04-15
Ying Yang Twins,Whistle While You Twurk,5,84.0,2000-04-15
"Walker, Clay","Live, Laugh, Love",5,94.0,2000-01-01
Metallica,No Leaf Clover (Live),5,74.0,2000-03-11
Yankee Grey,Another Nine Minutes,5,83.0,2000-05-27
Big Punisher,It's So Hard,5,81.0,2000-05-20
"Worley, Darryl",When You Need My Love,5,85.0,2000-07-15
Lil' Kim,How Many Licks?,5,86.0,2000-12-23
"Clark, Terri",A Little Gasoline,5,99.0,2001-01-13
"Cagle, Chris",My Love Goes On And On,5,84.0,2000-11-18
"Byrd, Tracy",Put Your Hand In Mine,5,86.0,2000-02-26
Metallica,I Disappear,5,81.0,2000-06-10
Jay-Z,Hey Papi,5,83.0,2000-09-09
Fatboy Slim,The Rockafeller Skank,5,77.0,1999-12-11
"Levert, Gerald",Mr. Too Damn Good,5,86.0,2000-04-15
"McKnight, Brian",Stay Or Let It Go,5,76.0,2000-03-25
"Allan, Gary",Smoke Rings In The Dark,5,92.0,2000-02-19
Ginuwine,The Best Man I Can Be,5,84.0,2000-02-05
Before Dark,Monica,5,77.0,2000-06-17
Stone Temple Pilots,Sour Girl,5,78.0,2000-08-05
Montgomery Gentry,Daddy Won't Sell The Farm,5,81.0,2000-04-01
"Cyrus, Billy Ray",You Won't Be Lonely Now,5,91.0,2000-10-21
Clark Family Experience,Meanwhile Back At The Ranch,5,80.0,2000-12-16
"Thomas, Carl",Summer Rain,5,82.0,2000-10-21
"Yearwood, Trisha",Real Live Woman,5,81.0,2000-04-29
Trick Daddy,Shut Up,5,83.0,2000-06-17
"Moore, Chante",Straight Up,5,85.0,2000-11-25
Cam'ron,What Means The World To You,5,84.0,2000-11-11
Juvenile,U Understand,5,97.0,2000-03-04
Tamia,Can't Go For That,5,97.0,2000-10-14
"Carter, Torrey",Take That,5,89.0,2000-07-22
Madison Avenue,Don't Call Me Baby,5,93.0,2000-08-05
Eve,Got It All,5,95.0,2000-08-12
Limp Bizkit,Re-Arranged,5,95.0,2000-01-01
Nu Flavor,3 Little Words,5,94.0,2000-07-01
Tamar,If You Don't Wanna Love Me,5,92.0,2000-04-22
"Levert, Gerald",Baby U Are,5,96.0,2000-09-16
"Hart, Beth",L.A. Song,5,99.0,1999-12-25
"Diffie, Joe",The Quittin' Kind,5,93.0,2000-01-29
Funkmaster Flex,Do You,5,91.0,2000-12-09
Lil' Mo,Ta Da,5,100.0,2000-09-09
A*Teens,Dancing Queen,5,100.0,2000-08-05
"Sheist, Shade",Where I Wanna Be,5,100.0,2000-12-09
Destiny's Child,Independent Women Part I,6,15.0,2000-10-28
Santana,"Maria, Maria",6,3.0,2000-03-18
Savage Garden,I Knew I Loved You,6,13.0,1999-11-27
Madonna,Music,6,1.0,2000-09-16
"Aguilera, Christina",Come On Over Baby (All I Want Is You),6,18.0,2000-09-09
Janet,Doesn't Really Matter,6,22.0,2000-07-22
Destiny's Child,Say My Name,6,13.0,2000-01-29
"Iglesias, Enrique",Be With You,6,12.0,2000-05-06
Sisqo,Incomplete,6,55.0,2000-07-29
Lonestar,Amazed,6,33.0,1999-07-10
N'Sync,It's Gonna Be Me,6,19.0,2000-06-10
"Aguilera, Christina",What A Girl Wants,6,13.0,2000-01-01
Vertical Horizon,Everything You Want,6,33.0,2000-02-26
Creed,With Arms Wide Open,6,68.0,2000-06-17
Aaliyah,Try Again,6,18.0,2000-04-22
matchbox twenty,Bent,6,21.0,2000-06-03
"Carey, Mariah",Thank God I Found You,6,37.0,2000-01-15
"Hill, Faith",Breathe,6,35.0,1999-12-11
Mya,Case Of The Ex (Whatcha Gonna Do),6,31.0,2000-09-23
Dream,He Loves U Not,6,42.0,2000-11-04
"Braxton, Toni",He Wasn't Man Enough,6,24.0,2000-04-22
"Anthony, Marc",You Sang To Me,6,27.0,2000-04-01
98¡,Give Me Just One Night (Una Noche),6,19.0,2000-09-23
Destiny's Child,Jumpin' Jumpin',6,50.0,2000-06-17
3 Doors Down,Kryptonite,6,57.0,2000-05-13
Sisqo,Thong Song,6,23.0,2000-03-04
"Aguilera, Christina",I Turn To You,6,19.0,2000-05-20
"Houston, Whitney",My Love Is Your Love,6,9.0,1999-10-09
Joe,I Wanna Know,6,33.0,2000-02-05
"Jordan, Montell",Get It On.. Tonite,6,61.0,1999-11-27
N'Sync,Bye Bye Bye,6,7.0,2000-03-04
Eminem,The Real Slim Shady,6,7.0,2000-06-10
Pink,Most Girls,6,21.0,2000-09-16
"Mumba, Samantha",Gotta Tell You,6,25.0,2000-10-14
Blaque,Bring It All To Me,6,19.0,1999-11-27
"Elliott, Missy ""Misdemeanor""",Hot Boyz,6,7.0,2000-01-01
"Gray, Macy",I Try,6,20.0,2000-03-25
N'Sync,This I Promise You,6,6.0,2000-11-04
Ruff Endz,No More,6,15.0,2000-08-05
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,6,14.0,2000-02-05
Nine Days,Absolutely (Story Of A Girl),6,34.0,2000-06-10
"Dion, Celine",That's The Way It Is,6,34.0,1999-12-18
Blink-182,All The Small Things,6,51.0,2000-01-08
Eiffel 65,Blue (Da Ba Dee),6,11.0,2000-01-15
"Badu, Erkyah",Bag Lady,6,42.0,2000-09-23
Pink,There U Go,6,7.0,2000-04-08
Creed,Higher,6,58.0,1999-10-16
Nelly,(Hot S**t) Country Grammar,6,37.0,2000-06-03
Next,Wifey,6,31.0,2000-07-01
Sonique,It Feels So Good,6,17.0,2000-02-26
"Spears, Britney",Oops!.. I Did It Again,6,13.0,2000-05-27
"Backstreet Boys, The",Shape Of My Heart,6,12.0,2000-11-18
Everclear,Wonderful,6,25.0,2000-08-12
Ja Rule,Between Me And You,6,22.0,2000-10-21
"Rimes, LeAnn",I Need You,6,59.0,2000-07-01
Smash Mouth,Then The Morning Comes,6,23.0,1999-12-04
Jay-Z,I Just Wanna Love U (Give It 2 Me),6,19.0,2000-12-02
Jagged Edge,Let's Get Married,6,42.0,2000-06-10
Filter,Take A Picture,6,38.0,2000-01-01
"Martin, Ricky",She Bangs,6,16.0,2000-11-11
Mystikal,Shake Ya Ass,6,25.0,2000-09-16
BBMak,Back Here,6,34.0,2000-06-03
"Spears, Britney",From The Bottom Of My Broken Heart,6,14.0,2000-03-04
Third Eye Blind,Never Let You Go,6,22.0,2000-02-26
Red Hot Chili Peppers,Otherside,6,49.0,2000-03-18
Profyle,Liar,6,16.0,2000-10-21
Barenaked Ladies,Pinch Me,6,37.0,2000-10-14
Jagged Edge,He Can't Love U,6,18.0,2000-01-15
504 Boyz,Wobble Wobble,6,31.0,2000-05-20
Sting,Desert Rose,6,52.0,2000-06-17
Jay-Z,Big Pimpin',6,25.0,2000-05-27
Kid Rock,Only God Knows Why,6,26.0,2000-03-25
Foo Fighters,Learn To Fly,6,52.0,1999-11-20
"Dixie Chicks, The",Goodbye Earl,6,20.0,2000-04-22
Guy,Dancin',6,44.0,2000-01-22
Lil Bow Wow,Bounce With Me,6,20.0,2000-09-23
Westlife,Swear It Again,6,46.0,2000-05-06
Train,Meet Virginia,6,45.0,1999-11-13
"Thomas, Carl",I Wish,6,28.0,2000-04-29
Hanson,This Time Around,6,71.0,2000-05-27
"Simpson, Jessica",I Think I'm In Love With You,6,23.0,2000-08-05
Ludacris,What's Your Fantasy,6,40.0,2000-11-04
Lil' Zane,Callin' Me,6,21.0,2000-09-02
M2M,Don't Say You Love Me,6,44.0,1999-12-25
SoulDecision,Faded,6,43.0,2000-08-12
"Brock, Chad",Yes!,6,47.0,2000-05-13
"Martin, Ricky",Shake Your Bon-Bon,6,39.0,1999-12-25
Vertical Horizon,You're A God,6,31.0,2000-09-30
Avant,Separated,6,30.0,2000-06-03
"Rimes, LeAnn",Big Deal,6,48.0,1999-11-20
IMx,Stay The Night,6,38.0,1999-11-13
Dr. Dre,The Next Episode,6,41.0,2000-07-01
"Spears, Britney",Lucky,6,29.0,2000-09-16
Savage Garden,Crash And Burn,6,31.0,2000-05-13
Kandi,Don't Think I'm Not,6,42.0,2000-09-09
Sammie,I Like It,6,33.0,2000-03-04
Goo Goo Dolls,Broadway,6,31.0,2000-05-27
"Moore, Mandy",I Wanna Be With You,6,42.0,2000-07-22
Dr. Dre,Forgot About Dre,6,30.0,2000-02-26
D'Angelo,Untitled (How Does It Feel),6,25.0,2000-02-26
"Messina, Jo Dee",That's The Way,6,44.0,2000-07-29
Avant,My First Love,6,33.0,2000-12-09
Son By Four,A Puro Dolor (Purest Of Pain),6,73.0,2000-05-13
Da Brat,What'Chu Like,6,41.0,2000-07-08
DMX,Party Up (Up In Here),6,44.0,2000-04-01
"Dixie Chicks, The",Cowboy Take Me Away,6,52.0,2000-01-01
"McGraw, Tim",My Next Thirty Years,6,40.0,2000-11-25
"Tritt, Travis",Best Of Intentions,6,56.0,2000-09-23
Alice Deejay,Better Off Alone,6,36.0,2000-05-13
Hoku,Another Dumb Blonde,6,34.0,2000-03-25
"Houston, Whitney",I Learned From The Best,6,27.0,2000-03-25
Counting Crows,Hanginaround,6,37.0,1999-12-11
Mary Mary,Shackles (Praise You),6,37.0,2000-04-29
"Carey, Mariah",Crybaby,6,90.0,2000-07-29
"McGraw, Tim",My Best Friend,6,54.0,2000-01-01
Sugar Ray,Falls Apart,6,29.0,2000-02-19
Madonna,American Pie,6,32.0,2000-03-25
"Jones, Donell",Where I Wanna Be,6,41.0,2000-05-27
"Paisley, Brad",We Danced,6,42.0,2000-11-18
Lonestar,What About Now,6,50.0,2000-07-15
"Backstreet Boys, The",The One,6,30.0,2000-07-01
"Keith, Toby",How Do You Like Me Now?!,6,43.0,2000-03-04
"Strait, George",The Best Day,6,44.0,2000-03-04
"Dixie Chicks, The",Without You,6,49.0,2000-11-11
Musiq,Just Friends (Sunny),6,54.0,2000-11-18
"McEntire, Reba",What Do You Say,6,63.0,1999-12-04
"Braxton, Toni",Just Be A Man About It,6,32.0,2000-09-02
"Iglesias, Enrique",Rhythm Divine,6,39.0,2000-01-08
"Fabian, Lara",I Will Love Again,6,52.0,2000-07-15
Bon Jovi,It's My Life,6,45.0,2000-09-16
"Evans, Sara",Born To Fly,6,51.0,2000-11-25
"Chesney, Kenny",I Lost It,6,53.0,2000-11-25
J-Shin,One Night Stand,6,62.0,2000-01-29
Eve,Love Is Blind,6,40.0,2000-02-12
Aaliyah,I Don't Wanna,6,35.0,2000-03-04
"Montgomery, John Michael",The Little Girl,6,41.0,2000-10-14
"Carter, Aaron",Aaron's Party (Come Get It),6,37.0,2000-09-30
"Vassar, Phil",Just Another Day In Paradise,6,46.0,2000-11-04
Ice Cube,You Can Do It,6,40.0,2000-01-08
"Wills, Mark",Back At One,6,37.0,2000-02-19
Lucy Pearl,Dance Tonight,6,49.0,2000-06-24
"Jackson, Alan",It Must Be Love,6,49.0,2000-07-29
"Griggs, Andy",She's More,6,55.0,2000-04-15
No Doubt,Simple Kind Of Life,6,48.0,2000-08-05
"Jean, Wyclef",911,6,48.0,2000-11-11
Rascal Flatts,Prayin' For Daylight,6,64.0,2000-06-10
Vitamin C,Graduation (Friends Forever),6,40.0,2000-05-20
"Gilman, Billy",One Voice,6,56.0,2000-07-22
Lonestar,Smile,6,47.0,2000-01-22
"Rogers, Kenny",Buy Me A Rose,6,46.0,2000-04-15
"Lawrence, Tracy",Lessons Learned,6,48.0,2000-03-04
"Strait, George",Go On,6,48.0,2000-09-30
Sisqo,Got To Get It,6,48.0,1999-12-25
Baha Men,Who Let The Dogs Out,6,54.0,2000-08-26
"Walker, Clay",The Chain Of Love,6,48.0,2000-05-20
"McBride, Martina",Love's The Only House,6,52.0,2000-03-11
Amber,Sexual (Li Da Di),6,93.0,1999-08-21
"Tippin, Aaron",Kiss This,6,47.0,2000-09-30
SheDaisy,I Will.. But,6,52.0,2000-08-19
"Raye, Collin",Couldn't Last A Moment,6,63.0,2000-04-22
Black Rob,Whoa!,6,46.0,2000-04-08
"Jackson, Alan",Pop A Top,6,57.0,1999-12-18
"Black, Clint",Been There,6,57.0,2000-03-25
Common,The Light,6,44.0,2000-09-09
"Vassar, Phil",Carlene,6,53.0,2000-04-08
"Jackson, Alan",www.memory,6,49.0,2000-12-09
Vitamin C,The Itch,6,58.0,2001-01-06
"Eastsidaz, The",G'D Up,6,47.0,2000-02-12
Ideal,Whatever,6,56.0,2000-07-15
"Thomas, Carl",Emotional,6,47.0,2000-12-30
Ginuwine,None Of Ur Friends Business,6,63.0,2000-01-15
"Davidson, Clay",Unconditional,6,78.0,2000-04-29
DMX,What You Want,6,79.0,2000-08-05
"John, Elton",Someday Out Of The Blue,6,60.0,2000-05-27
Pearl Jam,Nothing As It Seems,6,91.0,2000-06-17
Mya,The Best Of Me,6,50.0,2000-05-20
"Heatherly, Eric",Flowers On The Wall,6,77.0,2000-06-03
Eminem,Stan,6,51.0,2000-12-09
"McEntire, Reba",I'll Be,6,64.0,2000-06-17
"Lopez, Jennifer",Feelin' Good,6,54.0,2000-03-25
"Urban, Keith",Your Everything,6,64.0,2000-08-19
TLC,Dear Lie,6,74.0,2000-03-18
"Gill, Vince",Feels Like Love,6,65.0,2000-10-07
"Houston, Whitney",Could I Have This Kiss Forever,6,59.0,2000-07-22
Bloodhound Gang,The Bad Touch,6,57.0,2000-04-22
"Williams, Robbie",Angels,6,56.0,1999-12-25
"Messina, Jo Dee",Because You Love Me,6,55.0,2000-03-04
"Keith, Toby",Country Comes To Town,6,62.0,2000-09-09
Beenie Man,Girls Dem Sugar,6,63.0,2000-11-25
"Hill, Faith",Let's Make Love,6,60.0,2000-09-16
Kelis,Caught Out There,6,54.0,2000-01-08
Jay-Z,Anything,6,74.0,2000-04-01
3 Doors Down,Loser,6,65.0,2000-11-25
Brooks & Dunn,You'll Always Be Loved By Me,6,83.0,2000-07-15
"Chesney, Kenny",What I Need To Do,6,69.0,2000-05-06
"Stone, Angie",No More Rain (In This Cloud),6,60.0,2000-01-29
Da Brat,That's What I'm Looking For,6,60.0,2000-04-01
SheDaisy,This Woman Needs,6,57.0,2000-03-11
Papa Roach,Last Resort,6,64.0,2000-09-02
"Adams, Yolanda",Open My Heart,6,67.0,2000-09-30
Shyne,Bad Boyz,6,67.0,2000-10-14
R.E.M.,The Great Beyond,6,57.0,2000-01-29
"Diffie, Joe",It's Always Somethin',6,57.0,2000-09-16
"McGraw, Tim",Some Things Never Change,6,60.0,2000-06-17
"Henley, Don",Taking You Home,6,62.0,2000-07-29
Eminem,The Way I Am,6,58.0,2000-09-30
Nas,You Owe Me,6,59.0,2000-04-29
Sister Hazel,Change Your Mind,6,71.0,2000-08-19
"McBride, Martina",There You Are,6,64.0,2000-10-14
Usher,Pop Ya Collar,6,79.0,2000-12-09
Lil' Kim,No Matter What They Say,6,73.0,2000-08-19
Splender,I Think God Can Explain,6,64.0,2000-07-15
"Simpson, Jessica",Where You Are,6,93.0,2000-05-06
M2M,Mirror Mirror,6,68.0,2000-05-06
Kumbia Kings,U Don't Love Me,6,70.0,2000-04-08
Joe,Treat Her Like A Lady,6,64.0,2000-09-09
"Blige, Mary J.",Deep Inside,6,73.0,1999-12-18
"Price, Kelly",You Should've Told Me,6,79.0,2000-10-28
Changing Faces,That Other Woman,6,76.0,2000-11-04
"Wright, Chely",It Was,6,69.0,2000-04-08
Limp Bizkit,Rollin',6,65.0,2000-12-16
Hot Boys,I Need A Hot Girl,6,70.0,2000-03-25
Jay-Z,Do It Again (Put Ya Hands Up),6,84.0,2000-02-19
"Adkins, Trace",More,6,69.0,2000-06-03
"Dixie Chicks, The",Cold Day In July,6,68.0,2000-07-29
"Price, Kelly",As We Lay,6,79.0,2000-08-19
DMX,What's My Name,6,73.0,2000-02-19
"Blige, Mary J.",Give Me You,6,77.0,2000-05-20
Red Hot Chili Peppers,Californication,6,77.0,2000-09-02
Third Eye Blind,Deep Inside Of You,6,69.0,2000-10-07
"Brooks, Garth",Do What You Gotta Do,6,77.0,2000-03-25
"Offspring, The",Original Prankster,6,78.0,2000-12-30
"Anthony, Marc",My Baby You,6,81.0,2000-10-21
"Houston, Whitney","Same Script, Different Cast",6,75.0,2000-07-22
"Kravitz, Lenny",I Belong To You,6,83.0,2000-04-29
"Loveless, Patty",That's The Kind Of Mood I'm In,6,88.0,2000-10-21
"Rimes, LeAnn",Can't Fight The Moonlight,6,99.0,2000-10-14
Lil Wayne,Tha Block Is Hot,6,72.0,2000-01-08
2 Pac,Baby Don't Cry (Keep Ya Head Up II),6,94.0,2000-04-01
"Wallflowers, The",Sleepwalker,6,96.0,2000-12-02
Drama,"Left, Right, Left",6,73.0,2000-03-18
Limp Bizkit,N 2 Gether Now,6,73.0,2000-01-08
Lox,"Ryde or Die, Chick",6,97.0,2000-04-22
Ying Yang Twins,Whistle While You Twurk,6,78.0,2000-04-22
"Walker, Clay","Live, Laugh, Love",6,95.0,2000-01-08
Metallica,No Leaf Clover (Live),6,80.0,2000-03-18
Yankee Grey,Another Nine Minutes,6,79.0,2000-06-03
Big Punisher,It's So Hard,6,81.0,2000-05-27
"Worley, Darryl",When You Need My Love,6,85.0,2000-07-22
Lil' Kim,How Many Licks?,6,89.0,2000-12-30
"Clark, Terri",A Little Gasoline,6,99.0,2001-01-20
"Cagle, Chris",My Love Goes On And On,6,83.0,2000-11-25
"Byrd, Tracy",Put Your Hand In Mine,6,88.0,2000-03-04
Metallica,I Disappear,6,76.0,2000-06-17
Jay-Z,Hey Papi,6,83.0,2000-09-16
Fatboy Slim,The Rockafeller Skank,6,77.0,1999-12-18
"Levert, Gerald",Mr. Too Damn Good,6,86.0,2000-04-22
"McKnight, Brian",Stay Or Let It Go,6,88.0,2000-04-01
Ginuwine,The Best Man I Can Be,6,88.0,2000-02-12
Before Dark,Monica,6,87.0,2000-06-24
Stone Temple Pilots,Sour Girl,6,87.0,2000-08-12
Montgomery Gentry,Daddy Won't Sell The Farm,6,96.0,2000-04-08
"Cyrus, Billy Ray",You Won't Be Lonely Now,6,88.0,2000-10-28
Clark Family Experience,Meanwhile Back At The Ranch,6,80.0,2000-12-23
"Thomas, Carl",Summer Rain,6,83.0,2000-10-28
"Yearwood, Trisha",Real Live Woman,6,91.0,2000-05-06
Trick Daddy,Shut Up,6,83.0,2000-06-24
"Moore, Chante",Straight Up,6,83.0,2000-12-02
Cam'ron,What Means The World To You,6,83.0,2000-11-18
Juvenile,U Understand,6,96.0,2000-03-11
"Carter, Torrey",Take That,6,87.0,2000-07-29
Madison Avenue,Don't Call Me Baby,6,92.0,2000-08-12
Limp Bizkit,Re-Arranged,6,99.0,2000-01-08
Nu Flavor,3 Little Words,6,90.0,2000-07-08
Tamar,If You Don't Wanna Love Me,6,93.0,2000-04-29
"Hart, Beth",L.A. Song,6,99.0,2000-01-01
"Diffie, Joe",The Quittin' Kind,6,94.0,2000-02-05
Funkmaster Flex,Do You,6,94.0,2000-12-16
"Herndon, Ty",No Mercy,6,98.0,2000-04-22
Lil' Mo,Ta Da,6,95.0,2000-09-16
Destiny's Child,Independent Women Part I,7,7.0,2000-11-04
Santana,"Maria, Maria",7,2.0,2000-03-25
Savage Garden,I Knew I Loved You,7,7.0,1999-12-04
Madonna,Music,7,1.0,2000-09-23
"Aguilera, Christina",Come On Over Baby (All I Want Is You),7,11.0,2000-09-16
Janet,Doesn't Really Matter,7,15.0,2000-07-29
Destiny's Child,Say My Name,7,16.0,2000-02-05
"Iglesias, Enrique",Be With You,7,9.0,2000-05-13
Sisqo,Incomplete,7,2.0,2000-08-05
Lonestar,Amazed,7,29.0,1999-07-17
N'Sync,It's Gonna Be Me,7,15.0,2000-06-17
"Aguilera, Christina",What A Girl Wants,7,11.0,2000-01-08
Vertical Horizon,Everything You Want,7,31.0,2000-03-04
